Provincia,Tecnología,Accesos
MENDOZA,WIRELESS,27606
MISIONES,WIRELESS,13378
NEUQUEN,WIRELESS,24387
RIO NEGRO,WIRELESS,17733
SALTA,WIRELESS,11807
SAN JUAN,WIRELESS,23594
SANTA CRUZ,WIRELESS,7799
SANTA FE,WIRELESS,44162
SANTIAGO DEL ESTERO,WIRELESS,7058
San Luis,WIRELESS,78954
TIERRA DEL FUEGO,WIRELESS,177
TUCUMAN,WIRELESS,4075
