,"0,256 Mbps",2 Mbps,10 Mbps,100 Mbps,1000 Mbps
"0,256 Mbps",1.0,0.24098869786685312,0.5301578547979405,0.4341492209481092,0.24652920531276193
2 Mbps,0.24098869786685312,1.0,0.7304380349510124,0.5178425504820017,0.23932239626498975
10 Mbps,0.5301578547979405,0.7304380349510124,1.0,0.5981333788173397,0.23697527686162234
100 Mbps,0.4341492209481092,0.5178425504820017,0.5981333788173397,1.0,0.6205898010514057
1000 Mbps,0.24652920531276193,0.23932239626498975,0.23697527686162234,0.6205898010514057,1.0
